Respondent ID,Excel Row,LOHAS Segment,Propensity Score,Propensity Category,Composite Score,Actual Purchase (1-5),Patagonia Engagement (1-5),Environmental Activism (1-5),Willingness to Pay 25% (1-5),Brand Commitment (1-5),Environmental Evangelism (1-5),Price Insensitivity (1-5),Sustainability Importance (1-5),Organic Importance (1-5),Recycling Behavior (1-5),Classification Reasoning
10216935643,15,LOHAS Learner,2.500,Low (Price Conscious),3.240,1,N/A,3,4,5,N/A,2,5,4,4,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10216932134,16,LOHAS Leaning,5.000,Very High (Premium Payer),3.640,5,N/A,N/A,4,1,3,1,5,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10216931239,17,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.679,1,N/A,3,4,1,3,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10216904350,18,LOHAS Learner,2.500,Low (Price Conscious),3.400,1,N/A,3,5,5,N/A,1,5,4,5,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10216896904,19,LOHAS Leaning,5.000,Very High (Premium Payer),3.600,5,N/A,N/A,4,1,3,2,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10216632453,20,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.760,1,N/A,N/A,4,1,3,1,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10216583321,21,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.750,1,N/A,3,4,1,3,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10216576318,22,LOHAS Learner,5.000,Very High (Premium Payer),3.464,5,N/A,3,4,1,3,1,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10216483410,23,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.679,1,N/A,3,4,1,3,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10216423035,24,LOHAS Learner,2.500,Low (Price Conscious),3.545,1,N/A,N/A,5,5,N/A,1,5,5,5,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10216419487,25,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10215029401,26,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214695589,27,LOHAS Leaning,5.000,Very High (Premium Payer),4.071,5,N/A,3,4,5,3,1,5,4,5,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10214687301,28,LOHAS Leaning,5.000,Very High (Premium Payer),4.000,5,N/A,N/A,4,5,3,1,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10214675825,29,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214568570,30,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.560,1,N/A,N/A,4,1,3,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214566796,31,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214524474,32,LOHAS Leaning,5.000,Very High (Premium Payer),3.682,5,N/A,N/A,4,1,N/A,2,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10214523322,33,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.500,1,N/A,N/A,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214518530,34,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.720,1,N/A,3,4,1,N/A,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214514135,35,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,1,4,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214471871,36,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.560,1,N/A,N/A,4,1,3,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214447339,37,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,3,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214428786,38,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.679,1,N/A,3,4,1,3,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214399009,39,LOHAS Leaning,5.000,Very High (Premium Payer),4.120,5,N/A,N/A,4,5,3,1,5,4,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10214368386,40,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,3,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214315157,41,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.760,1,N/A,3,4,1,N/A,1,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214207912,42,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.720,1,N/A,3,4,1,N/A,2,4,4,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214139352,43,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214074228,44,LOHAS Learner,2.500,Low (Price Conscious),2.840,1,N/A,3,4,1,N/A,2,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214047398,45,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10214038665,46,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,3,4,1,N/A,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213992985,47,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213964424,48,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213888247,49,LOHAS Learner,2.500,Low (Price Conscious),3.120,1,N/A,3,4,5,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10213880290,50,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.720,1,N/A,3,4,1,N/A,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213845315,51,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,N/A,4,1,3,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213828561,52,LOHAS Learner,2.500,Low (Price Conscious),3.000,1,N/A,N/A,5,1,N/A,1,5,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213735686,53,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213728389,54,LOHAS Leaning,5.000,Very High (Premium Payer),4.080,5,N/A,N/A,4,5,3,1,4,5,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10213727931,55,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,N/A,4,1,3,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213725805,56,LOHAS Leaning,5.000,Very High (Premium Payer),4.318,5,N/A,N/A,4,5,N/A,1,4,5,5,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10213718897,57,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,N/A,4,1,3,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213706102,58,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213691219,59,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,2,4,4,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213687663,60,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.500,1,N/A,N/A,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213580498,61,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.560,1,N/A,3,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213480911,62,LOHAS Learner,2.500,Low (Price Conscious),2.818,1,N/A,N/A,4,1,N/A,2,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10213004905,63,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.727,1,N/A,N/A,4,1,N/A,1,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212971507,64,LOHAS Learner,2.500,Low (Price Conscious),3.040,1,N/A,3,4,5,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10212832066,65,LOHAS Learner,2.500,Low (Price Conscious),3.179,1,N/A,3,4,5,3,1,4,5,5,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10212629558,66,LOHAS Learner,2.500,Low (Price Conscious),2.818,1,N/A,N/A,4,1,N/A,1,5,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212584818,67,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.750,1,N/A,3,4,1,3,1,4,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212487637,68,LOHAS Leaning,5.000,Very High (Premium Payer),3.964,5,N/A,3,4,5,3,2,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10212478129,69,LOHAS Leaning,5.000,Very High (Premium Payer),4.240,5,N/A,3,5,5,N/A,1,4,5,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10212468373,70,LOHAS Learner,2.500,Low (Price Conscious),2.909,1,N/A,N/A,5,1,N/A,1,5,4,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212467313,71,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,3,4,1,N/A,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212464765,72,LOHAS Leaning,5.000,Very High (Premium Payer),4.214,5,N/A,3,4,5,3,2,5,5,5,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10212417298,73,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212403045,74,LOHAS Leaning,5.000,Very High (Premium Payer),4.409,5,N/A,N/A,5,5,N/A,2,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10212355308,75,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212335623,76,LOHAS Leaning,5.000,Very High (Premium Payer),4.214,5,N/A,3,5,5,3,2,5,4,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10212293568,77,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.727,1,N/A,N/A,4,1,N/A,1,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212278041,78,LOHAS Leaning,5.000,Very High (Premium Payer),3.520,5,N/A,N/A,4,1,3,1,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10212255361,79,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.720,1,N/A,N/A,4,1,3,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212252736,80,LOHAS Leaning,5.000,Very High (Premium Payer),3.682,5,N/A,N/A,4,1,N/A,2,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10212251342,81,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212178927,82,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,N/A,4,1,3,1,4,4,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212167972,83,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.727,1,N/A,N/A,4,1,N/A,1,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212157348,84,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,1,4,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212117474,85,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.560,1,N/A,3,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212102690,86,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.500,1,N/A,N/A,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212099298,87,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.750,1,N/A,3,4,1,3,1,4,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212099180,88,LOHAS Laggard,2.500,Low (Price Conscious),2.786,1,N/A,3,4,1,3,2,5,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10212019210,89,LOHAS Learner,5.000,Very High (Premium Payer),3.464,5,N/A,3,4,1,3,1,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211991774,90,LOHAS Leaning,5.000,Very High (Premium Payer),3.654,5,3,N/A,5,1,N/A,1,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211979238,91,LOHAS Learner,2.500,Low (Price Conscious),3.045,1,N/A,N/A,4,5,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10211974870,92,LOHAS Leaning,5.000,Very High (Premium Payer),4.000,5,N/A,N/A,4,5,3,1,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10211898932,93,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,N/A,4,1,3,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211890746,94,LOHAS Leaning,5.000,Very High (Premium Payer),4.409,5,N/A,N/A,4,5,N/A,2,4,5,5,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10211866806,95,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.679,1,N/A,3,4,1,3,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211852638,96,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211812656,97,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.500,1,N/A,N/A,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211777401,98,LOHAS Leaning,5.000,Very High (Premium Payer),4.360,5,N/A,N/A,5,5,3,2,5,4,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10211771544,99,LOHAS Leaning,5.000,Very High (Premium Payer),4.080,5,N/A,3,4,5,N/A,1,4,5,4,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10211767519,100,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.607,1,N/A,3,4,1,3,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211737820,101,LOHAS Leaning,5.000,Very High (Premium Payer),3.600,5,N/A,N/A,4,1,3,1,4,5,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211736940,102,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211677732,103,LOHAS Leaning,5.000,Very High (Premium Payer),4.107,5,N/A,3,5,5,3,1,4,4,5,"Very high propensity to pay premium; Has purchased for sustainability; Strong brand values alignment; High price sensitivity"
10211660192,104,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211647844,105,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.560,1,N/A,3,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211588326,106,LOHAS Learner,2.500,Low (Price Conscious),2.821,1,N/A,3,4,1,3,2,4,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211567962,107,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211556713,108,LOHAS Leaning,5.000,Very High (Premium Payer),3.600,5,N/A,3,4,1,N/A,2,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211492472,109,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.560,1,N/A,3,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211441222,110,LOHAS Learner,2.500,Low (Price Conscious),2.893,1,N/A,3,5,1,3,1,4,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211404708,111,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.500,1,N/A,N/A,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211348113,112,LOHAS Learner,2.500,Low (Price Conscious),3.040,1,N/A,3,4,5,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10211323056,113,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.500,1,N/A,N/A,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211318966,114,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.560,1,N/A,N/A,4,1,3,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211315114,115,LOHAS Leaning,5.000,Very High (Premium Payer),3.680,5,N/A,3,4,1,N/A,2,4,5,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211311681,116,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.679,1,N/A,3,4,1,3,1,4,4,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211310885,117,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.760,1,N/A,3,4,1,N/A,2,5,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211306981,118,LOHAS Leaning,5.000,Very High (Premium Payer),3.682,5,N/A,N/A,4,1,N/A,2,4,4,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211302124,119,LOHAS Leaning,5.000,Very High (Premium Payer),3.680,5,N/A,N/A,4,1,3,2,4,5,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211275338,120,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,N/A,4,1,3,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211270059,121,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.640,1,N/A,3,4,1,N/A,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211252654,122,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.560,1,N/A,3,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211232483,123,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211191757,124,LOHAS Leaning,5.000,Very High (Premium Payer),3.800,5,N/A,3,4,1,N/A,2,5,5,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211165333,125,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.500,1,N/A,N/A,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211155377,126,LOHAS Leaning,5.000,Very High (Premium Payer),3.536,5,N/A,3,4,1,3,1,4,5,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211148264,127,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.500,1,N/A,N/A,4,1,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211127534,128,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,2,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211116012,129,LOHAS Leaning,5.000,Very High (Premium Payer),3.960,5,N/A,N/A,5,1,3,1,5,5,5,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211106379,130,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211105231,131,LOHAS Learner,2.500,Low (Price Conscious),3.040,1,N/A,3,4,5,N/A,1,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; Strong brand values alignment; High price sensitivity"
10211102659,132,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.760,1,N/A,3,4,1,N/A,1,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211075796,133,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.682,1,N/A,N/A,4,1,N/A,2,4,4,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211057059,134,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.636,1,N/A,N/A,4,1,N/A,1,5,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211037069,135,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.760,1,N/A,3,4,1,N/A,1,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211031801,136,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.679,1,N/A,3,4,1,3,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211020345,137,LOHAS Leaning,5.000,Very High (Premium Payer),3.607,5,N/A,3,4,1,3,2,4,4,5,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10211007781,138,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.760,1,N/A,3,4,1,N/A,1,5,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211003087,139,LOHAS Learner,2.500,Low (Price Conscious),3.000,1,N/A,3,5,1,N/A,1,5,5,5,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211003070,140,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,2,4,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10211003001,141,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.591,1,N/A,N/A,4,1,N/A,1,4,5,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10210993249,142,LOHAS Leaning,5.000,Very High (Premium Payer),3.955,5,N/A,N/A,5,1,N/A,2,4,5,4,"Very high propensity to pay premium; Has purchased for sustainability; High price sensitivity"
10210991070,143,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.727,1,N/A,N/A,4,1,N/A,2,5,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
10210931448,144,LOHAS Laggard,1.500,Very Low (Price Sensitive),2.636,1,N/A,N/A,4,1,N/A,1,5,4,4,"Low propensity to pay premium; Never purchased for sustainability; High price sensitivity"
