Q_Number,Column_Index,Column_ID,Question_Text,Response_Type
Q93,101,brand_awareness_aveeno_baby,Following is a list of brands - Aveeno Baby,brand_awareness
Q94,102,brand_awareness_mustela_baby,Following is a list of brands - Mustela Baby,brand_awareness
Q95,103,brand_awareness_gaia_natural,Following is a list of brands - GAIA Natural Baby,brand_awareness
Q96,104,brand_awareness_cetaphil_baby,Following is a list of brands - Cetaphil Baby,brand_awareness
Q97,105,brand_awareness_johnsons_baby,Following is a list of brands - Johnson's Baby,brand_awareness
Q98,106,brand_awareness_bunjie,Following is a list of brands - Bunjie,brand_awareness
Q99,107,brand_awareness_groto,Following is a list of brands - Gro-To,brand_awareness
Q100,108,brand_awareness_moogoo,Following is a list of brands - MooGoo,brand_awareness
Q101,109,brand_awareness_cerave_baby,Following is a list of brands - CeraVe Baby,brand_awareness
Q102,110,brand_awareness_ecostore_baby,Following is a list of brands - Ecostore Baby,brand_awareness
Q103,111,brand_awareness_curash_baby,Following is a list of brands - Curash Baby,brand_awareness
Q104,112,brand_awareness_earthwise,Following is a list of brands - Earthwise,brand_awareness
Q105,113,brand_awareness_childs_farm,Following is a list of brands - Child's Farm,brand_awareness
Q106,114,brand_awareness_dermaveen_baby,Following is a list of brands - Dermaveen Baby,brand_awareness
Q107,115,other_brands_currently_use,If there are other brands of baby body products that you currently use please outline them,open_ended
Q108,116,brand_usage_description,Please select the option which best describes you,categorical
Q109,117,brand_usage_reason,Briefly please say why,open_ended
Q110,118,hypothetical_100_dollar_spend,If you were given $100 to spend on baby body products but could only spend it on one brand which would you choose,categorical
Q111,119,hypothetical_100_other_brand,Other brand (please say which brand),open_ended
Q120,120,brand_choice_reason,You chose to spend your $100 on that brand Please say why you chose that brand,open_ended
Q121,121,info_sources_none,If you wanted information on baby products or brands - None of the above,binary
Q122,122,info_sources_friends_family,If you wanted information on baby products or brands - Friends or family,binary
Q123,123,info_sources_internet_search,If you wanted information on baby products or brands - Internet search,binary
Q124,124,info_sources_ai_search,If you wanted information on baby products or brands - AI search,binary
Q125,125,info_sources_mother_baby_websites,If you wanted information on baby products or brands - Mother/Baby websites,binary
Q126,126,info_sources_brand_websites,If you wanted information on baby products or brands - Brand/company websites,binary
Q127,127,info_sources_brand_newsletter,If you wanted information on baby products or brands - Brand newsletter/email,binary
Q128,128,info_sources_facebook_groups,If you wanted information on baby products or brands - Facebook Groups & Forums,binary
Q129,129,info_sources_facebook_ads,If you wanted information on baby products or brands - Facebook ads/Marketplace,binary
Q130,130,info_sources_youtube,If you wanted information on baby products or brands - YouTube,binary
Q131,131,info_sources_tiktok,If you wanted information on baby products or brands - TikTok,binary
Q132,132,info_sources_instagram,If you wanted information on baby products or brands - Instagram,binary
Q133,133,info_sources_twitter,If you wanted information on baby products or brands - Twitter / X,binary
Q134,134,info_sources_podcast,If you wanted information on baby products or brands - Podcast,binary
Q135,135,info_sources_pharmacist,If you wanted information on baby products or brands - Pharmacist,binary
Q136,136,info_sources_influencer_major,If you wanted information on baby products or brands - Major influencer,binary
Q137,137,info_sources_influencer_local,If you wanted information on baby products or brands - Local influencer,binary
Q138,138,info_sources_pharmacy_assistant,If you wanted information on baby products or brands - Pharmacy assistant,binary
Q139,139,info_sources_midwife,If you wanted information on baby products or brands - Midwife,binary
Q140,140,info_sources_family_doctor,If you wanted information on baby products or brands - Family doctor/GP,binary
Q141,141,info_sources_pediatrician,If you wanted information on baby products or brands - Pediatrician,binary
Q142,142,info_sources_maternal_child_health,If you wanted information on baby products or brands - Maternal and Child Health Nurse,binary
Q143,143,info_sources_other,If you wanted information on baby products or brands - Other sources,open_ended
