Column,LLM Result,Original Row 0,Original Row 1,FFill Row 0,"FFill Row 0 + "" - "" + Row 1"
65,Unnamed: 65,,"Is “Free From” (contains no parabens, mineral oil, propylene glycol, artificial colours, artificial fragrance)","From the below list, if you had to choose only the 5 most important aspects in deciding which baby body product to purchase, which would they be:  (select 5 aspects only)","From the below list, if you had to choose only the 5 most important aspects in deciding which baby body product to purchase, which would they be:  (select 5 aspects only) - Is “Free From” (contains no parabens, mineral oil, propylene glycol, artificial colours, artificial fragrance)"
66,Don't Know / Can't Say.4,"Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement)",I prefer products with essential oils over synthetic ingredients and artificial fragrance for my baby,"Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement)","Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement) - I prefer products with essential oils over synthetic ingredients and artificial fragrance for my baby"
67,Don't Know / Can't Say.5,,I believe essential oils provide a positive benefit in baby body products,"Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement)","Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement) - I believe essential oils provide a positive benefit in baby body products"
68,Don't Know / Can't Say.6,,I am more likely to consider a brand / product that contain essential oils,"Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement)","Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement) - I am more likely to consider a brand / product that contain essential oils"
69,Don't Know / Can't Say.7,,I think essential oils are good for my little one’s skin,"Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement)","Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement) - I think essential oils are good for my little one’s skin"
70,Don't Know / Can't Say.8,,I expect essential oils to be included in all baby body products,"Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement)","Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement) - I expect essential oils to be included in all baby body products"
71,Don't Know / Can't Say.9,,I actively avoid products with essential oil ingredients for my baby,"Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement)","Essential OilEssential oils are concentrated extracts from different plants that are used in aromatherapy or topically for various conditions. In Baby body products they can provide natural anti-inflammatory, calming or antimicrobial effects.When it comes to Essential Oil, please indicate your views: (select one per statement) - I actively avoid products with essential oil ingredients for my baby"
72,I worry essential oils might cause a reaction for my baby’s delicate skin so avoid them ,"If you have any comments about the use of Essential Oils in baby body products, please outline them:",Open-Ended Response,"If you have any comments about the use of Essential Oils in baby body products, please outline them:","If you have any comments about the use of Essential Oils in baby body products, please outline them: - Open-Ended Response"
73,Agree,"Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement)",I prefer products with natural or food derived ingredients over synthetic ingredients for my baby,"Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement)","Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement) - I prefer products with natural or food derived ingredients over synthetic ingredients for my baby"
74,Don't Know / Can't Say.10,,I believe food derived ingredients provide a positive benefit in baby body products,"Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement)","Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement) - I believe food derived ingredients provide a positive benefit in baby body products"
75,Agree.1,,I am more likely to consider a brand / product that contain food derived ingredients,"Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement)","Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement) - I am more likely to consider a brand / product that contain food derived ingredients"
76,Agree.2,,I think food derived ingredients are good for my little one’s skin,"Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement)","Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement) - I think food derived ingredients are good for my little one’s skin"
77,Don't Know / Can't Say.11,,I expect food derived ingredients to be included in all baby body products,"Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement)","Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement) - I expect food derived ingredients to be included in all baby body products"
78,Don't Know / Can't Say.12,,I actively avoid products with food derived ingredients for my baby,"Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement)","Food Derived ingredients Food derived ingredients in baby skincare are components sourced from edible animal or non-plant origins—like dairy, honey, or beeswax. They can provide natural nurturing qualities for delicate skin such as hydration, soothing and barrier protection.When it comes to Food Derived ingredients, please indicate your views: (select one per statement) - I actively avoid products with food derived ingredients for my baby"
79,Unnamed: 79,"If you have any comments about the use of Food Derived ingredients in baby body products, please outline them:",Open-Ended Response,"If you have any comments about the use of Food Derived ingredients in baby body products, please outline them:","If you have any comments about the use of Food Derived ingredients in baby body products, please outline them: - Open-Ended Response"
80,Yes,Prior to this survey have you ever seen this certification logo?,Response,Prior to this survey have you ever seen this certification logo?,Prior to this survey have you ever seen this certification logo? - Response
81,Strongly Agree,Please indicate your feedback about the certification logo: (select one per statement),I know what this certification means,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I know what this certification means
82,Agree.3,,I would feel more confident in a baby care brand with this certification,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I would feel more confident in a baby care brand with this certification
83,Don't Know / Can't Say.13,,I am more likely to purchase a product that has this certification,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I am more likely to purchase a product that has this certification
84,No,Prior to this survey have you ever seen this certification logo?,Response,Prior to this survey have you ever seen this certification logo?,Prior to this survey have you ever seen this certification logo? - Response
85,Strongly Disagree,Please indicate your feedback about the certification logo: (select one per statement),I know what this certification means,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I know what this certification means
86,Agree.4,,I would feel more confident in a baby care brand with this certification,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I would feel more confident in a baby care brand with this certification
87,Don't Know / Can't Say.14,,I am more likely to purchase a product that has this certification,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I am more likely to purchase a product that has this certification
88,Don't Know / Can't Say.15,Prior to this survey have you ever seen this certification logo?,Response,Prior to this survey have you ever seen this certification logo?,Prior to this survey have you ever seen this certification logo? - Response
89,Don't Know / Can't Say.16,Please indicate your feedback about the certification logo: (select one per statement),I know what this certification means,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I know what this certification means
90,Don't Know / Can't Say.17,,I would feel more confident in a baby care brand with this certification,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I would feel more confident in a baby care brand with this certification
91,Don't Know / Can't Say.18,,I am more likely to purchase a product that has this certification,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I am more likely to purchase a product that has this certification
92,Yes.1,Prior to this survey have you ever seen this certification logo?,Response,Prior to this survey have you ever seen this certification logo?,Prior to this survey have you ever seen this certification logo? - Response
93,Strongly Agree.1,Please indicate your feedback about the certification logo: (select one per statement),I know what this certification means,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I know what this certification means
94,Strongly Agree.2,,I would feel more confident in a baby care brand with this certification,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I would feel more confident in a baby care brand with this certification
95,Strongly Agree.3,,I am more likely to purchase a product that has this certification,Please indicate your feedback about the certification logo: (select one per statement),Please indicate your feedback about the certification logo: (select one per statement) - I am more likely to purchase a product that has this certification
96,3rd Most .1,"In order, please indicate which of the certification logos would be most important to you if you were considering a new brand of baby care products:",Option A,"In order, please indicate which of the certification logos would be most important to you if you were considering a new brand of baby care products:","In order, please indicate which of the certification logos would be most important to you if you were considering a new brand of baby care products: - Option A"
97,2nd Most .1,,Option B,"In order, please indicate which of the certification logos would be most important to you if you were considering a new brand of baby care products:","In order, please indicate which of the certification logos would be most important to you if you were considering a new brand of baby care products: - Option B"
98,Least Important,,Option C,"In order, please indicate which of the certification logos would be most important to you if you were considering a new brand of baby care products:","In order, please indicate which of the certification logos would be most important to you if you were considering a new brand of baby care products: - Option C"
99,Most Important.1,,Option D,"In order, please indicate which of the certification logos would be most important to you if you were considering a new brand of baby care products:","In order, please indicate which of the certification logos would be most important to you if you were considering a new brand of baby care products: - Option D"
100,Currently Use,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),QV Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - QV Baby
101,Have Heard of but not used,,Aveeno Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Aveeno Baby
102,Have Used but not now,,Mustela Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Mustela Baby
103,Currently Use.1,,GAIA Natural Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - GAIA Natural Baby
104,Have Heard of but not used.1,,Cetaphil Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Cetaphil Baby
105,Have Heard of but not used.2,,Johnson's Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Johnson's Baby
106,Never Heard of,,Bunjie,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Bunjie
107,Never Heard of.1,,Gro-To,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Gro-To
108,Currently Use.2,,MooGoo,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - MooGoo
109,Have Used but not now.1,,CeraVe Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - CeraVe Baby
110,Have Heard of but not used.3,,Ecostore Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Ecostore Baby
111,Have Heard of but not used.4,,Curash Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Curash Baby
112,Never Heard of.2,,Earthwise,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Earthwise
113,Never Heard of.3,,Child’s Farm,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Child’s Farm
114,Currently Use.3,,Dermaveen Baby,Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand),Following is a list of some brands that sell baby body products. Please indicate if you have ever heard of the brand or if you have ever used them: (select one per brand) - Dermaveen Baby
115,Unnamed: 115,"If there are other brands of baby body products that you currently use, please outline them:",Open-Ended Response,"If there are other brands of baby body products that you currently use, please outline them:","If there are other brands of baby body products that you currently use, please outline them: - Open-Ended Response"
