Gender,Age group,State or Territory,Currently pregnant,Number of children,Age of youngest child,Essential oils preferences,Natural ingredients importance,How often use baby bath products,How often use baby shampoo,Survey Question 11,Survey Question 12,Survey Question 13,Survey Question 14,Survey Question 15,Survey Question 16,Survey Question 17,Survey Question 18,Survey Question 19,Survey Question 20,Survey Question 21,Survey Question 22,Survey Question 23,Survey Question 24,Survey Question 25,Survey Question 26,Survey Question 27,Survey Question 28,Survey Question 29,Survey Question 30,Survey Question 31,Survey Question 32,Survey Question 33,Survey Question 34,Survey Question 35,Survey Question 36,Survey Question 37,Survey Question 38,Survey Question 39,Survey Question 40,Survey Question 41,Survey Question 42,Survey Question 43,Survey Question 44,Survey Question 45,Survey Question 46,Survey Question 47,Survey Question 48,Survey Question 49,Survey Question 50,Survey Question 51,Survey Question 52,Survey Question 53
Female,Female,Female,Female,Male,Female,Agree,Disagree,Rarely,Always,Neutral,Sometimes,Disagree,Strongly Disagree,Never,Neutral,Agree,Always,Strongly Agree,Disagree,Often,Agree,Neutral,Rarely,Disagree,Disagree,Always,Strongly Agree,Agree,Always,Agree,Strongly Agree,Never,Strongly Agree,Neutral,Often,Strongly Disagree,Disagree,Never,Agree,Agree,Never,Disagree,Neutral,Often,Neutral,Neutral,Never,Agree,Disagree,Never,Agree,Neutral
Male,Female,Female,Female,Female,Male,Strongly Disagree,Strongly Agree,Never,Often,Agree,Rarely,Neutral,Strongly Disagree,Sometimes,Neutral,Strongly Disagree,Rarely,Agree,Neutral,Never,Neutral,Neutral,Never,Neutral,Strongly Disagree,Rarely,Strongly Agree,Agree,Never,Strongly Disagree,Neutral,Sometimes,Agree,Neutral,Sometimes,Strongly Agree,Agree,Always,Neutral,Agree,Rarely,Strongly Disagree,Strongly Disagree,Never,Neutral,Strongly Agree,Always,Strongly Agree,Strongly Agree,Often,Disagree,Neutral
Female,Male,Male,Female,Male,Male,Strongly Agree,Agree,Never,Sometimes,Agree,Often,Neutral,Strongly Disagree,Never,Neutral,Agree,Sometimes,Neutral,Agree,Sometimes,Strongly Disagree,Neutral,Always,Neutral,Strongly Agree,Often,Disagree,Strongly Disagree,Never,Disagree,Strongly Agree,Rarely,Strongly Agree,Disagree,Never,Strongly Disagree,Strongly Agree,Often,Disagree,Neutral,Often,Disagree,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Often,Disagree,Strongly Disagree,Always,Strongly Disagree,Disagree
Female,Female,Female,Male,Female,Female,Neutral,Strongly Agree,Sometimes,Sometimes,Strongly Agree,Sometimes,Strongly Agree,Disagree,Often,Neutral,Agree,Often,Neutral,Disagree,Rarely,Neutral,Agree,Never,Neutral,Neutral,Always,Agree,Strongly Agree,Rarely,Disagree,Neutral,Always,Strongly Agree,Agree,Rarely,Disagree,Agree,Rarely,Strongly Agree,Disagree,Often,Strongly Agree,Neutral,Sometimes,Disagree,Agree,Often,Strongly Agree,Agree,Rarely,Agree,Strongly Disagree
Male,Female,Female,Male,Male,Female,Strongly Agree,Strongly Disagree,Never,Always,Neutral,Rarely,Strongly Disagree,Strongly Disagree,Always,Neutral,Agree,Sometimes,Strongly Agree,Agree,Sometimes,Agree,Agree,Sometimes,Strongly Agree,Strongly Agree,Never,Agree,Strongly Agree,Never,Disagree,Disagree,Sometimes,Strongly Disagree,Agree,Always,Agree,Disagree,Often,Agree,Neutral,Rarely,Neutral,Neutral,Rarely,Strongly Disagree,Neutral,Never,Strongly Agree,Disagree,Never,Strongly Agree,Agree
Female,Male,Male,Female,Female,Female,Neutral,Strongly Disagree,Sometimes,Often,Strongly Agree,Rarely,Strongly Agree,Strongly Agree,Always,Strongly Agree,Disagree,Sometimes,Neutral,Agree,Always,Strongly Agree,Agree,Sometimes,Disagree,Strongly Agree,Always,Neutral,Agree,Often,Neutral,Disagree,Sometimes,Agree,Neutral,Never,Agree,Agree,Never,Strongly Agree,Strongly Agree,Never,Strongly Agree,Strongly Agree,Never,Strongly Disagree,Strongly Disagree,Always,Disagree,Neutral,Often,Neutral,Neutral
Female,Male,Male,Male,Female,Female,Neutral,Strongly Disagree,Often,Always,Agree,Never,Strongly Agree,Strongly Agree,Sometimes,Neutral,Agree,Never,Disagree,Neutral,Never,Strongly Disagree,Strongly Agree,Never,Neutral,Disagree,Never,Strongly Agree,Strongly Agree,Never,Disagree,Disagree,Always,Neutral,Strongly Agree,Never,Strongly Agree,Strongly Agree,Often,Strongly Agree,Strongly Disagree,Always,Disagree,Disagree,Rarely,Agree,Neutral,Often,Strongly Agree,Strongly Disagree,Often,Strongly Disagree,Strongly Disagree
Male,Female,Female,Female,Female,Female,Neutral,Disagree,Often,Often,Agree,Often,Agree,Agree,Sometimes,Strongly Disagree,Strongly Disagree,Sometimes,Agree,Neutral,Often,Strongly Disagree,Agree,Often,Disagree,Disagree,Often,Neutral,Disagree,Often,Strongly Disagree,Strongly Disagree,Rarely,Strongly Disagree,Strongly Agree,Never,Disagree,Strongly Disagree,Sometimes,Strongly Disagree,Strongly Disagree,Never,Disagree,Disagree,Rarely,Agree,Neutral,Sometimes,Strongly Disagree,Strongly Disagree,Never,Agree,Strongly Agree
Male,Male,Female,Female,Female,Male,Strongly Disagree,Agree,Often,Rarely,Strongly Agree,Always,Strongly Disagree,Disagree,Always,Strongly Agree,Disagree,Sometimes,Strongly Agree,Strongly Disagree,Always,Strongly Disagree,Strongly Agree,Sometimes,Agree,Strongly Disagree,Often,Strongly Disagree,Disagree,Often,Agree,Strongly Agree,Always,Agree,Strongly Disagree,Never,Strongly Agree,Strongly Agree,Rarely,Neutral,Agree,Often,Disagree,Disagree,Always,Strongly Agree,Disagree,Never,Strongly Disagree,Neutral,Always,Strongly Disagree,Disagree
Male,Female,Male,Male,Female,Female,Strongly Disagree,Neutral,Often,Always,Agree,Rarely,Strongly Disagree,Neutral,Never,Neutral,Disagree,Rarely,Agree,Disagree,Always,Agree,Neutral,Sometimes,Agree,Strongly Disagree,Never,Strongly Agree,Neutral,Sometimes,Strongly Agree,Strongly Disagree,Never,Disagree,Neutral,Rarely,Disagree,Agree,Often,Disagree,Neutral,Never,Disagree,Strongly Agree,Never,Neutral,Strongly Agree,Sometimes,Strongly Agree,Neutral,Rarely,Agree,Neutral
Female,Female,Male,Female,Female,Female,Strongly Disagree,Agree,Often,Never,Agree,Rarely,Neutral,Strongly Disagree,Always,Strongly Disagree,Strongly Disagree,Often,Agree,Agree,Always,Strongly Agree,Strongly Agree,Sometimes,Neutral,Agree,Never,Strongly Disagree,Agree,Often,Agree,Disagree,Never,Strongly Agree,Neutral,Often,Strongly Disagree,Strongly Agree,Always,Strongly Agree,Neutral,Sometimes,Disagree,Neutral,Sometimes,Strongly Agree,Agree,Sometimes,Disagree,Strongly Disagree,Always,Agree,Strongly Disagree
Male,Male,Female,Female,Male,Male,Strongly Disagree,Strongly Disagree,Never,Never,Strongly Disagree,Often,Disagree,Strongly Disagree,Rarely,Agree,Disagree,Rarely,Disagree,Agree,Often,Strongly Disagree,Neutral,Always,Disagree,Neutral,Rarely,Strongly Disagree,Neutral,Never,Strongly Agree,Strongly Agree,Rarely,Disagree,Strongly Disagree,Often,Neutral,Agree,Always,Strongly Agree,Neutral,Never,Agree,Strongly Disagree,Always,Strongly Disagree,Agree,Never,Disagree,Agree,Rarely,Strongly Agree,Disagree
Female,Male,Female,Male,Female,Female,Disagree,Disagree,Never,Always,Strongly Disagree,Rarely,Neutral,Agree,Always,Strongly Agree,Strongly Disagree,Rarely,Disagree,Strongly Agree,Never,Strongly Disagree,Agree,Rarely,Disagree,Strongly Agree,Never,Strongly Disagree,Neutral,Sometimes,Strongly Agree,Agree,Never,Strongly Agree,Disagree,Always,Agree,Disagree,Often,Agree,Strongly Agree,Never,Agree,Disagree,Often,Strongly Disagree,Disagree,Rarely,Strongly Agree,Strongly Disagree,Rarely,Agree,Strongly Agree
Male,Female,Male,Male,Female,Female,Strongly Disagree,Strongly Disagree,Rarely,Rarely,Strongly Disagree,Often,Agree,Strongly Agree,Always,Strongly Disagree,Agree,Never,Disagree,Disagree,Sometimes,Disagree,Disagree,Sometimes,Agree,Agree,Never,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Agree,Never,Disagree,Strongly Agree,Always,Strongly Disagree,Strongly Agree,Rarely,Agree,Disagree,Often,Agree,Strongly Disagree,Sometimes,Neutral,Strongly Disagree,Rarely,Disagree,Strongly Agree,Always,Neutral,Neutral
Female,Male,Female,Male,Female,Female,Agree,Disagree,Rarely,Always,Strongly Agree,Always,Agree,Neutral,Sometimes,Strongly Disagree,Neutral,Rarely,Strongly Disagree,Disagree,Rarely,Strongly Disagree,Disagree,Always,Agree,Strongly Agree,Never,Disagree,Disagree,Always,Strongly Agree,Strongly Disagree,Never,Strongly Agree,Strongly Disagree,Often,Agree,Strongly Agree,Never,Strongly Disagree,Neutral,Rarely,Strongly Disagree,Strongly Disagree,Often,Neutral,Neutral,Often,Neutral,Strongly Disagree,Always,Agree,Strongly Agree
Male,Male,Male,Female,Female,Female,Strongly Agree,Neutral,Rarely,Often,Agree,Often,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Disagree,Rarely,Agree,Strongly Disagree,Rarely,Disagree,Agree,Never,Strongly Agree,Strongly Disagree,Always,Strongly Agree,Agree,Often,Neutral,Strongly Disagree,Never,Agree,Strongly Agree,Always,Disagree,Agree,Rarely,Strongly Disagree,Neutral,Often,Neutral,Neutral,Often,Strongly Disagree,Agree,Sometimes,Neutral,Disagree,Sometimes,Disagree,Strongly Disagree
Female,Male,Male,Male,Female,Female,Disagree,Neutral,Always,Always,Disagree,Often,Agree,Disagree,Rarely,Strongly Disagree,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Never,Disagree,Strongly Agree,Often,Neutral,Strongly Agree,Never,Strongly Disagree,Strongly Agree,Never,Strongly Agree,Agree,Often,Neutral,Strongly Disagree,Never,Disagree,Agree,Rarely,Disagree,Neutral,Often,Neutral,Strongly Disagree,Always,Strongly Agree,Disagree,Sometimes,Disagree,Neutral,Sometimes,Agree,Strongly Agree
Female,Male,Male,Male,Female,Female,Strongly Agree,Agree,Rarely,Often,Disagree,Rarely,Strongly Agree,Neutral,Never,Strongly Agree,Disagree,Often,Disagree,Neutral,Always,Strongly Agree,Agree,Never,Neutral,Agree,Never,Disagree,Strongly Disagree,Often,Agree,Agree,Often,Strongly Agree,Disagree,Often,Agree,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Never,Strongly Agree,Strongly Agree,Always,Strongly Disagree,Agree,Rarely,Agree,Strongly Disagree,Often,Neutral,Strongly Agree
Male,Female,Female,Female,Female,Female,Strongly Disagree,Agree,Never,Often,Strongly Disagree,Always,Disagree,Disagree,Never,Neutral,Neutral,Always,Strongly Agree,Strongly Disagree,Rarely,Strongly Disagree,Agree,Often,Disagree,Agree,Often,Agree,Strongly Agree,Often,Strongly Agree,Strongly Agree,Sometimes,Neutral,Agree,Never,Agree,Disagree,Often,Agree,Neutral,Sometimes,Strongly Agree,Agree,Rarely,Disagree,Disagree,Always,Strongly Agree,Neutral,Sometimes,Neutral,Neutral
Male,Female,Male,Male,Male,Male,Strongly Agree,Disagree,Always,Never,Strongly Agree,Never,Neutral,Neutral,Often,Strongly Disagree,Agree,Sometimes,Agree,Strongly Agree,Sometimes,Strongly Disagree,Disagree,Never,Strongly Agree,Strongly Agree,Always,Strongly Disagree,Strongly Disagree,Always,Neutral,Strongly Disagree,Always,Neutral,Strongly Disagree,Often,Strongly Disagree,Strongly Disagree,Often,Strongly Agree,Disagree,Sometimes,Agree,Disagree,Sometimes,Agree,Neutral,Often,Neutral,Agree,Often,Agree,Strongly Disagree
Female,Female,Male,Female,Female,Female,Neutral,Neutral,Rarely,Never,Strongly Agree,Often,Strongly Disagree,Strongly Agree,Often,Agree,Neutral,Sometimes,Agree,Neutral,Often,Neutral,Strongly Agree,Rarely,Neutral,Strongly Agree,Always,Disagree,Disagree,Never,Agree,Agree,Always,Disagree,Disagree,Sometimes,Neutral,Disagree,Always,Agree,Disagree,Sometimes,Disagree,Agree,Rarely,Strongly Agree,Strongly Agree,Rarely,Agree,Neutral,Often,Strongly Agree,Strongly Disagree
Male,Male,Female,Male,Female,Male,Neutral,Disagree,Rarely,Always,Strongly Agree,Sometimes,Neutral,Neutral,Never,Strongly Agree,Agree,Often,Strongly Agree,Neutral,Rarely,Strongly Disagree,Strongly Agree,Sometimes,Strongly Disagree,Strongly Agree,Never,Strongly Disagree,Agree,Often,Disagree,Disagree,Often,Strongly Disagree,Neutral,Often,Agree,Agree,Sometimes,Neutral,Agree,Rarely,Disagree,Neutral,Often,Agree,Disagree,Rarely,Agree,Strongly Agree,Often,Strongly Agree,Strongly Agree
Male,Female,Female,Male,Female,Male,Neutral,Strongly Disagree,Always,Never,Neutral,Rarely,Agree,Strongly Disagree,Often,Strongly Agree,Neutral,Sometimes,Strongly Agree,Agree,Never,Disagree,Strongly Agree,Sometimes,Strongly Agree,Disagree,Never,Strongly Agree,Strongly Agree,Always,Strongly Agree,Agree,Often,Disagree,Disagree,Always,Strongly Disagree,Agree,Never,Strongly Disagree,Strongly Disagree,Sometimes,Agree,Agree,Sometimes,Strongly Disagree,Agree,Often,Neutral,Strongly Disagree,Always,Disagree,Strongly Agree
Male,Female,Female,Female,Female,Female,Neutral,Neutral,Never,Sometimes,Strongly Agree,Often,Neutral,Disagree,Often,Neutral,Strongly Agree,Often,Neutral,Strongly Disagree,Often,Disagree,Agree,Never,Agree,Disagree,Never,Strongly Agree,Strongly Disagree,Rarely,Disagree,Neutral,Sometimes,Neutral,Agree,Always,Disagree,Strongly Agree,Often,Strongly Agree,Neutral,Often,Disagree,Agree,Often,Disagree,Neutral,Sometimes,Strongly Agree,Agree,Always,Strongly Agree,Disagree
Male,Female,Female,Female,Male,Female,Neutral,Disagree,Never,Sometimes,Agree,Often,Strongly Agree,Neutral,Always,Strongly Agree,Strongly Agree,Rarely,Neutral,Neutral,Often,Disagree,Disagree,Rarely,Strongly Agree,Strongly Agree,Always,Agree,Neutral,Often,Disagree,Neutral,Rarely,Strongly Disagree,Agree,Always,Disagree,Strongly Agree,Sometimes,Neutral,Agree,Often,Neutral,Agree,Often,Strongly Disagree,Strongly Disagree,Rarely,Strongly Agree,Agree,Often,Neutral,Strongly Agree
Female,Female,Female,Female,Female,Female,Agree,Neutral,Rarely,Rarely,Strongly Disagree,Rarely,Disagree,Neutral,Often,Strongly Disagree,Strongly Disagree,Always,Strongly Agree,Disagree,Sometimes,Strongly Agree,Agree,Sometimes,Agree,Disagree,Rarely,Agree,Neutral,Rarely,Disagree,Disagree,Never,Disagree,Strongly Disagree,Always,Strongly Agree,Agree,Often,Strongly Agree,Strongly Disagree,Rarely,Neutral,Neutral,Always,Disagree,Strongly Disagree,Never,Strongly Disagree,Neutral,Sometimes,Agree,Agree
Male,Male,Male,Male,Male,Male,Disagree,Strongly Agree,Rarely,Never,Neutral,Sometimes,Disagree,Neutral,Always,Neutral,Strongly Disagree,Rarely,Strongly Disagree,Disagree,Often,Strongly Agree,Strongly Agree,Always,Agree,Strongly Agree,Never,Strongly Agree,Agree,Often,Strongly Agree,Strongly Agree,Often,Neutral,Agree,Sometimes,Strongly Disagree,Neutral,Always,Strongly Disagree,Neutral,Always,Strongly Disagree,Disagree,Never,Strongly Agree,Agree,Often,Neutral,Strongly Disagree,Sometimes,Neutral,Strongly Disagree
Male,Female,Female,Female,Male,Female,Disagree,Strongly Disagree,Never,Never,Strongly Agree,Often,Strongly Agree,Strongly Disagree,Rarely,Strongly Agree,Neutral,Often,Neutral,Strongly Disagree,Rarely,Disagree,Agree,Always,Strongly Agree,Neutral,Always,Strongly Agree,Agree,Sometimes,Disagree,Neutral,Often,Strongly Agree,Strongly Disagree,Rarely,Agree,Neutral,Always,Agree,Agree,Always,Strongly Agree,Strongly Disagree,Rarely,Disagree,Neutral,Always,Strongly Agree,Agree,Sometimes,Strongly Agree,Agree
Female,Male,Male,Male,Male,Male,Neutral,Neutral,Always,Never,Disagree,Sometimes,Disagree,Agree,Rarely,Disagree,Strongly Disagree,Sometimes,Neutral,Agree,Always,Disagree,Disagree,Sometimes,Agree,Strongly Agree,Always,Neutral,Disagree,Sometimes,Disagree,Disagree,Sometimes,Neutral,Neutral,Never,Disagree,Neutral,Always,Strongly Disagree,Agree,Rarely,Agree,Neutral,Never,Agree,Neutral,Sometimes,Strongly Disagree,Disagree,Never,Strongly Agree,Neutral
Male,Male,Female,Female,Female,Male,Agree,Disagree,Sometimes,Rarely,Strongly Agree,Often,Disagree,Agree,Always,Strongly Agree,Strongly Disagree,Always,Strongly Agree,Disagree,Often,Neutral,Agree,Always,Strongly Agree,Agree,Rarely,Neutral,Disagree,Often,Strongly Disagree,Agree,Always,Strongly Agree,Agree,Often,Strongly Agree,Agree,Rarely,Neutral,Disagree,Rarely,Disagree,Agree,Always,Agree,Disagree,Never,Strongly Disagree,Strongly Agree,Sometimes,Strongly Disagree,Disagree
Female,Male,Female,Male,Female,Male,Neutral,Agree,Rarely,Always,Neutral,Sometimes,Strongly Disagree,Agree,Sometimes,Neutral,Neutral,Rarely,Agree,Strongly Disagree,Never,Strongly Disagree,Neutral,Rarely,Strongly Disagree,Agree,Sometimes,Strongly Agree,Strongly Agree,Rarely,Agree,Strongly Disagree,Rarely,Agree,Agree,Sometimes,Strongly Agree,Disagree,Always,Strongly Disagree,Neutral,Sometimes,Agree,Strongly Agree,Always,Neutral,Neutral,Sometimes,Strongly Disagree,Strongly Disagree,Sometimes,Strongly Disagree,Disagree
Female,Female,Male,Female,Female,Female,Agree,Neutral,Often,Often,Strongly Disagree,Never,Neutral,Neutral,Never,Strongly Agree,Disagree,Never,Disagree,Disagree,Often,Neutral,Strongly Disagree,Often,Neutral,Agree,Rarely,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Agree,Sometimes,Strongly Agree,Strongly Disagree,Often,Strongly Disagree,Neutral,Rarely,Disagree,Disagree,Sometimes,Disagree,Agree,Always,Agree,Disagree,Always,Neutral,Strongly Disagree,Always,Strongly Disagree,Strongly Agree
Male,Female,Female,Female,Male,Female,Agree,Neutral,Sometimes,Rarely,Strongly Disagree,Rarely,Agree,Neutral,Sometimes,Strongly Disagree,Strongly Disagree,Always,Neutral,Neutral,Sometimes,Strongly Agree,Disagree,Sometimes,Strongly Agree,Disagree,Sometimes,Neutral,Strongly Agree,Sometimes,Disagree,Strongly Agree,Rarely,Strongly Agree,Neutral,Often,Strongly Disagree,Strongly Agree,Always,Strongly Disagree,Strongly Disagree,Always,Disagree,Strongly Disagree,Sometimes,Neutral,Agree,Rarely,Strongly Disagree,Strongly Agree,Rarely,Neutral,Strongly Agree
Male,Male,Female,Male,Female,Male,Agree,Neutral,Rarely,Never,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Never,Neutral,Strongly Agree,Often,Strongly Disagree,Strongly Agree,Never,Strongly Agree,Neutral,Sometimes,Strongly Disagree,Disagree,Never,Neutral,Agree,Sometimes,Strongly Disagree,Neutral,Rarely,Disagree,Strongly Agree,Never,Neutral,Agree,Sometimes,Agree,Neutral,Often,Neutral,Agree,Never,Agree,Strongly Agree,Never,Strongly Agree,Strongly Agree,Often,Strongly Agree,Strongly Agree
Male,Male,Male,Male,Female,Male,Strongly Agree,Disagree,Always,Sometimes,Strongly Agree,Often,Agree,Agree,Sometimes,Agree,Neutral,Sometimes,Strongly Disagree,Neutral,Sometimes,Strongly Agree,Strongly Agree,Often,Neutral,Disagree,Often,Neutral,Strongly Agree,Never,Disagree,Strongly Agree,Never,Agree,Strongly Disagree,Rarely,Strongly Agree,Agree,Sometimes,Disagree,Strongly Disagree,Often,Strongly Agree,Disagree,Sometimes,Neutral,Neutral,Sometimes,Strongly Disagree,Disagree,Often,Strongly Agree,Strongly Agree
Male,Male,Male,Female,Male,Male,Strongly Agree,Neutral,Sometimes,Often,Agree,Always,Neutral,Agree,Never,Neutral,Disagree,Often,Neutral,Agree,Sometimes,Strongly Disagree,Strongly Disagree,Often,Strongly Disagree,Strongly Disagree,Often,Agree,Neutral,Never,Strongly Disagree,Neutral,Sometimes,Strongly Disagree,Strongly Disagree,Often,Strongly Disagree,Neutral,Rarely,Neutral,Strongly Agree,Often,Neutral,Agree,Rarely,Agree,Strongly Disagree,Always,Disagree,Neutral,Sometimes,Neutral,Agree
Male,Female,Male,Male,Female,Male,Agree,Disagree,Often,Sometimes,Neutral,Never,Strongly Disagree,Neutral,Rarely,Strongly Disagree,Strongly Disagree,Never,Neutral,Disagree,Never,Strongly Agree,Disagree,Sometimes,Agree,Agree,Always,Strongly Agree,Disagree,Rarely,Disagree,Agree,Rarely,Agree,Strongly Agree,Never,Disagree,Agree,Often,Strongly Disagree,Strongly Agree,Never,Strongly Agree,Strongly Disagree,Always,Agree,Disagree,Sometimes,Disagree,Strongly Disagree,Always,Strongly Agree,Strongly Agree
Female,Female,Male,Male,Male,Male,Disagree,Neutral,Never,Rarely,Strongly Agree,Always,Neutral,Strongly Disagree,Always,Agree,Disagree,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Strongly Disagree,Strongly Disagree,Sometimes,Strongly Disagree,Agree,Sometimes,Neutral,Strongly Disagree,Never,Agree,Strongly Disagree,Always,Agree,Neutral,Never,Strongly Disagree,Agree,Often,Strongly Agree,Neutral,Never,Strongly Agree,Agree,Often,Neutral,Neutral,Often,Strongly Disagree,Disagree,Often,Agree,Strongly Agree
